id,image_ID,complaint_text_tr,complaint_type,is_verifiable
107,e102,Rengi siyah değil alacalı lekeli gibi beyaz beyaz görüntüler var iade,Discolored,Yes
108,e103,Yırtık geldi,Faulty,Yes
109,e104,Ben begenmedim sweat kumaşı var,Disappointing,No
110,e105,ürünün düğmesi kopuk geldi maalesef İADE,Faulty,Yes
111,e106,"Ürünün dikişi daha kaliteli olabilir ceplerinden avuç avuç ip söküğü geliyor, annemde babamda tekstilci bir iş dikildiği zaman sökülmemesi için bu ipler temizlenir biraz daha kaliteli yapın bence fiyatlarınız çokta ucuz değil",Faulty,Partially
112,e107,34 beden istedim. Yanlış beden geldi. Daha doğrusu yanlış beden kartı basmışlar geri iade,Ill-fitting,Yes
113,e108,Ürün görselde ki gibi değil tok bir kumaşı yok aksine çok ince kaliteli görünmüyor.,Inferior,No
114,e109,Hayal kırıklığı. Çok çok ince ve kalitesiz ürün.,Inferior,No
115,e110,gorselle alakasiz bir ürün geldi,Incorrect,Yes
116,e111,Ürünün boncukları dökülmüştü yapıştırma izleri vardı kumaşı ince açıkcası kaliteli durmuyor,Faulty,Yes
117,e112,Siz sakamisiniz ya 38 aldim buyuk geldi iade edip 36 aldim simdi geldi kendi yolladigim 38 i geri yollamissiniz 36 yerine,Ill-fitting,Partially
118,e113,Resmen ürün giyilmiş yıkanmış rengi solmuş deterjan kokuyor ve fabrika çıkışı gibi değil kırış kırış ürün. Yıkanıp rengi solan ürünü bana yollamışsınız!!!,Refurbished,Partially
119,e114,Renk farkına bakın nasıl takım giyeyim ceket yıkanmış gibi aynı maalesef iade,Discolored,Yes
120,e115,kemer yerleri yok,Incomplete,Partially
121,e116,Ürün çok güzel ama okadar özensiz bir şekilde geldi ki düğmenin biri yok ,Incomplete,Partially
122,e117,Ürün çok kalitesiz,Disappointing,No
123,e118,Defolu ürün gönderildi ayrıca çok ince baharlık bir ürün,Faulty,Yes
124,e119,Yanlış ürün yolladılar,Incorrect,Yes
125,e120,astari kusurlu.,Faulty,Partially
126,e120,musteri temsilcisi ilgisiz. kalitesiz almayin,Disappointing,Partially
127,e121, Yarın için acil almıştım fakat dikişsiz geldi mila asla eski kalitesinde değil,Faulty,Yes
128,e122,Vasat. 16 günde geldi siparişim. Hem de defolu. İade…,Faulty,Partially
129,e123,ceket lekeli geldi iadeeeee,Faulty,Yes
130,e124,asla göründüğü gibi değiller...Şile bezi gibi tül aynıı ilk defa alışveriş yapmadığım için güvendim ama değmezmiş gerçekten,Inferior,Yes
131,e125,Ürün kendi görselinde muazzam görünüyor. Fakat yaka dikişleri inanılmaz hatalı bir şekilde geldi. Rengini kumaşını ve modelini beğenmeme rağmen iade edeceğim. Trendyolmilla’dan beklenmeyen kalite bu.,Faulty,Yes
132,e126,Alakasız ceket geldi hic beyenmedım,Incorrect,Yes
133,e127,Kumaşını duruşunu sevdim fakat defolu gelmese iyiydi,Faulty,Yes
134,e128,Ben beğenmedim yaa. Model güzel değil... 1.66 boy 82 kiloyum.. İade ettim...,Disappointing,No
135,e129,etek yerine elbise göndermişler,Incorrect,Yes
136,e130,"
ipleri hep sarkmış sanki ütü izi gibi lekeler var",Faulty,Partially
137,e131,Gerçekten yazıklar olsun artık kesinlikle trendyolu silip kullanmıcam. Önce 36 neden sipariş ettim 46 beden gönderdiler iade ettim tekrar sipariş verdim beğendiğim için şimdide 40 göndermişler gerçekten rezillik benim için trendyol bitti,Ill-fitting,Yes
138,e132,yedek düğmesi yoktu,Incomplete,No
139,e133,Sakın kanıp almayın satıcı deyişim yapmıyor ürünlerin hepsi sıkıntılı kanmayın,Disappointing,Yes
140,e134,astarinda yırtık var,Faulty,Partially
141,e135,urun güzel fakat defolu bariz bisekilde görüluyo kalite kontrol 0 iade,Faulty,Partially
142,e136,cep kenarları gördüğünüz gibi öylesine dikilmiş ve sökümeye başlamış,Faulty,Partially
143,e137,"Dikiş hatası var, kol astarı yırtık geldi",Faulty,Yes
144,e138,Ürünü daha yeni açma fırsatım oldu dikişleri güzel değil,Faulty,Partially
145,e139,Allah aşkınıza kaç gündür bu ürünü bekliyorum ne kadar sorumsuzsunuz ya yırtık ürün gelmiş ve kargo ücretsiz gelsin diye ben başka ürün de eklemiştim lütfen aynı ürünü bana tekrar gönderin,Faulty,Yes
146,e140,Gerı ıade defolu ürün,Faulty,Yes
147,e141,40 44 beden istedim 40 beden geldi mecburen iade. Daha dikkatli olursanız sevinirim,Ill-fitting,Yes
148,e142,Defolu ürün göndermişler!,Faulty,Yes
149,e143,arkadaşlar L beden istedim XS gelmiş. Daha ne yazmalıyım bilemedim.,Ill-fitting,Yes
150,e143,Kumaş çok basit tavsiye etmem.,Disappointing,No
151,e144,XL beden aldığım halde beyaz olan siyahtan yaklaşık 2 beden dar geldi! Fotoğraflarda görebilirsiniz,Ill-fitting,Partially
152,e145,Hiç beğenmedim. ,Disappointing,No
153,e145,Kumaşı hiç rahat değil. Kumaşı yakıyor.,Inferior,No
154,e146,Şaka gibi yakasını ters dikmişler ,Faulty,Yes
155,e147,Ürün defolu geldi,Faulty,Partially
156,e148,Kirli kullanılmış ürün gönderildi,Refurbished,Yes
157,e149,Bej çizgili yazıyor mavi çizgili geldi ???,Incorrect,Yes
158,e150,"Ürün yırtık geldi :( belimin sol kısmı yırtık olarak geldi, iyi ki denerken fark ettim. Kumaşı terleten bi kumaşa benziyor ancak modeli çok güzel.",Faulty,Yes
159,e151,48 kilo s beden sipariş ettim küçük geldi iade edip M sipariş ettim L göndermişler. Ayrıca sipariş ettikten 5 gün sonra geldi kargo süreci çok uzun sürüyor hiç memnun kalmadım.,Ill-fitting,Yes
160,e152,bu ne biçim kumaş dalga mı geçiyorsunuz,Disappointing,No
161,e153,Şaka gibi bir ürün 53 kilo 160 boya m söyledim ama bırak denk gelmesini bacağımdan yukarı çıkmadı yorumlara bakarak aldım ama umduğum gibi gelmedi kesinlikle. İADE,Ill-fitting,No
162,e154,çok ince kotu bi kumasi vardi ,Inferior,No
163,e154,fazla kısa geldi bedeni buyuk almak gerekir fiyatina göre iyiydi,Ill-fitting,Partially
164,e155,Etek ile ne alakası var bunun insanları kandırıyorsunuz,Incorrect,Yes
165,e156,Ben etek sipariş vermiştim ama yanlış geldiği için giyemedim ve tam tatile gittiğim zamanda geldi iade edemedim de,Incorrect,Yes
166,e157,beli lastikli oldugu icin sevmedim,Disappointing,No
167,e158,Kumaşı bi garip tay tüyü koltuk gibi nasıl yazlık ürün ben anlamadım. İade edicem,Disappointing,No
168,e159,Ben beğenmedim kalitesini,Disappointing,No
169,e160,"Ürün, görsel de kloş bir model olarak görünüyor ama değil direk kalem etek formun da geliyor, bunun dışında saten ya da ince rahat açılan bir model gibi dursa da ürün kışlık kadife- kaz tüyü gibi minik tüylü ve ligralı bir etek.Görselde ki modelle hiç benzerliği yok, fotoğraf ekleyenleri sonradan inceledim zaten kalem formlu geldiği ve basit kumaştan olduğu kombinlerinde ki duruşundan anlaşılıyor, direk iade",Disappointing,No
170,e161,"renkler göründüğü gibi canlı değil , ",Discolored,No
171,e161,"hiç hoş bir kumaşı yok. Aldığıma pişman oldum , bir defa yıkarsam renklerin tamamen karisacagindan şüpheliyim.",Inferior,No
172,e162,Ürün elime geldi kumaş iyi fakat basende kocaman bir dikiş hatası var basen kısmında yumurta gibi bi çıkıntı var hadi keserken görülmedi bu hata dikerken görülmedi mi ??? İade edecektim eteği oğlum etiketi koparmış elimde kala kaldı giyince basenimde yumurta varmış gibi duruyor eteğin sağ basen tarafı tam bir fiyasko oldu benim için…,Faulty,Yes
173,e163,Çok güzel kumaşı fakat tek yıkamada çekti,Inferior,No
174,e164,"eteği üçüncü giyişim. ilk fotoğraftaki gibi tüylenmeler oldu eteğin her yerinde. kumaşı irite edecek yerlerde oturmadim, çanta takmadim yine de durum bu. bel lastiği de kendini saldi ki beli bol gelerek giyiyordum, sündürmüş olma ihtimalim yok.",Inferior,Partially
175,e165,Ürünü üç dört kere giydim şimdiden tülerdi çabuk deforme oluyor. Onun dışında kalıbı kumaşı güzel,Inferior,Partially
176,e166,Ürün bence bahsedildiği gibi degil kesinlikle kalın kumaş filan demis ama normal bir kumaşı var   ,Disappointing,No
177,e166,ayrıca dikiş yerleri ip cekilmiş gibi bence en önemlisi bel kısmına dikilen lastik basit bir dikis ile dikilmiş ve sökük gelmiş iade olck.,Faulty,Partially
178,e167,Yırtık gelmıs urun bna özen sıfır,Faulty,Yes
179,e168,Etek rengi kumaşı falan güzel fakat sadece bir kez giydim ve yıkanmasıyla ipleri söküldü uzunca. Terzilik iş çıktı başıma beklemiyordum sadece bir kez yıkandı.Bir kullanım için alacaksınız alın.,Inferior,Yes
180,e169,S istedim m geldi ?,Ill-fitting,Yes
181,e170,Ürünü aldığımda evimde boy aynası yoktu. Yıkayıp dolaba kaldırdım. Boy aynası aldım ve denediğimde gördüğüm şey eteğin yamukluğu oldu. Kalitesi güzel ama bu fiyata böyle bir hata hoş değil. İade zamanı da geçti.,Faulty,Partially
182,e171,"Yanlış ürünü yollamışlar, ama tebrikler yırtmaçtan tutturmuşsunuz 😂",Incorrect,Yes
183,e172,XXS sipariş vermiştim XS gönderilmiş ama güzel oturdu üstüme 42 kgyim. Ürün pamuklu değil polyester karışımı yüksek,Ill-fitting,Yes
184,e173,5 metrede bir durup eteği aşağı çekmeniz gerekiyor çünkü sürekli yukarı kayıyor. Rezil bir gün geçirmek istiyorsanız tercih edebilirsiniz,Ill-fitting,No
185,e174,"Tamam iç gösteren etek olur ama bu kadarı olmaz. Ederi 50TL bile olmayan ürüne 140TL uygun diye ödene yapmamanızı tavsiye ederim. Öylesine giymek için almıştım ama öylesine bile giyilecek etek değil. Çok dert eden biri değilim iç gösteren çamaşırları ama bu etek röntgen gibi, bir kere görüntü estetik olmuyor. Giyenlere ve beğenmelere hayret ettim 😄",Inferior,Partially
186,e175,siyahını da aynı beden almıştım o tam oldu bunun da etiketinde xs yazmasına rağmen aşırı büyük oldu,Ill-fitting,No
187,e176,Kalitesi harikaydı ama bu şekilde geldiği için iade etmek zorunda kaldım keşke dikkat etseydiniz siyahıda xs boyutundaydı o yüzden iptal ettim üzdü ☹️,Faulty,Yes
188,e177,Arkadaşım ile aldık onun xs benim L beden ikisi arasında dağlar kadar fark var ürünün fotoğraftaki ile benzerliği neredeyse hiç yok alacaksanız muadil almayın arkadaşlar,Ill-fitting,No
189,e178,"Fırfırların kesimi yamuk, ön ve arka uzunluk birbirini tutmuyor. Kesinlikle orijinal marka alınmalı o yüzden iade",Faulty,Yes
190,e179,Hem kumaş hem renk fotodakiyle alakasız,Disappointing,No
191,e179,eteğin bitiş boyu kalça direkt iade,Ill-fitting,Partially
192,e180,Ürün defolu geldi ikisini de aldım beyazı lekeliydi ,Faulty,Yes
193,e181,Görseldekiyle alakası yok kısacık ve s beden olmasına rağmen bol geldi. Ayrıca paketleme özensiz sadece kargo poşetine koyup göndermişler…. Beğenerek almıştım ama Üzülerek İade,Ill-fitting,No
194,e182,Kalitesi kötü değil ama çookk kısa benim boyum 153 47 kiloyum baya kalçamın altında kaldı yanları zaten daha kısa olduğu için memnun kalmadım ,Ill-fitting,No
195,e182,bir de yıkadım daha da çekti sanki ben bikini üstüne giyerim artık,Inferior,No
196,e183,"ikisini de s sipariş vermiştim biri xs diğeri l gelmiş, ürünler de kalitesiz tavsiye etmem",Ill-fitting,Yes
197,e184,Etek çok güzel ama önü lekeli geldi iade maalesef,Faulty,Yes
198,e185,Ürün güzel olsa da hem lekeli hem yırtık gönderildi. Malesef iade edeceğim,Faulty,Partially
199,e186,Lekeli geldi,Faulty,Yes
200,e187,ok açıklama yapmaya gerek yok. Gizem Zanbak linkiyle ürünü aldım. Fakat elime bambaşka bir ürün geldi. Müşteri temsilcisini arıyorum açmıyor. Şikayet oluşturuyorum cevap verilmiyor. Normalde ürünün üretim kumaşı tül değil. Ama bana nedense Tül şeklinde gönderildi. Üstelik görsellere bakıldığı zaman farkı anlayacaksınız. Almadan önce iletişime geçin.,Inferior,Partially
201,e188,Aldığım ürün etek ve bana gelen ürün bu..,Incorrect,Yes
202,e189,yırtık geldi,Faulty,Yes
203,e190,öncelikle üzerinde küçük bi leke var.,Faulty,Yes
204,e190, iç gösteriyor . ve kumaşı umduğum gibi çıkmadı o yüzden iade edeceğim,Inferior,No
205,e191,kumaşı ve dikişleri çok kaliteli değil ama modeli güzel. benimki lekeli geldi😠,Faulty,Yes
206,e192,Ürün güzel olsa da hem lekeli hem yırtık gönderildi. Malesef iade edeceğim,Faulty,No
207,e193,"Ürün aşırı yamuk ve iki yerden delik geldi, satıcı yeni ürün göndermek yerine iade talebi oluşturmamı ve bunu “vazgeçtim” olarak seçmemi istedi 😂",Faulty,Partially
208,e194,S beden istemiştim xs gönderilmiş daha özenli olmasını dilerdim çünkü çok geç geldi mecbur iade,Ill-fitting,Yes
209,e195,Maalesef ürünüm gelmedi çok üzgünüm tamamen farklı bir ürün ile karşılaştım 😔,Incorrect,Yes
210,e196,Ürün resmen kalem çiziği ile geldi özellikle beyan ürünlerde dikkat edilmesi gerekirken kontrol edilmeden gönderilmesi saçmalık,Faulty,Yes
211,e197,L beden istedim s gelmiş,Ill-fitting,Yes
212,e198,"İlk Xs bedenini aldım boyu çok kısa geldiği için S bedenini de sipariş verdim. Elime ulaşan S beden etekle Xs’ nin arasında hiçbir fark yok. Açıklamada Xs ve S beden arasında belden 3 cm boydan 4 cm fark olduğu yazıyordu. Zaten fiyatı uygun bir etek değil ve insanları böyle mağdur edemezsiniz. Elinizde S beden etek yoksa stoğu bitmiş olarak gösterin. Aynı beden ürüne birine S birine Xs yazarak insanları mağdur etmeyin lütfen. Ben 165 50 kiloyum etek, şort boyundan bile kısa. Almak istiyorsanız buna dikkat edin. Etek hem iç gösteriyor hem çok kısa hem de kalitesiz. Hiç beğenmedim.",Ill-fitting,No
213,e199,Bana tükenmez kalem lekesiyle geldi indirimde aldım diye mi anlamadım ama iade etmedim çünkü çok zamlandı,Faulty,Yes
214,e200,Pek beğenmedim kumaşı kalitesiz ,Disappointing,No
215,e200,zaten siyahıyla arasında boy farkı var,Ill-fitting,Yes
216,e201,eteğin m bedenini sipariş verdim gelen ürüne bak eteğe benzer hali yok,Incorrect,Yes
217,e202,böyle bir rezillik görmedim bayramdan önce sipariş ettim bayram biteli iki hafta olucak 13 gündür yok siparisim geldi o da sorunlu dikisleri sökük ve yamuk dikim etegin katlari üst üste gelmis kardeismde var onunkinden bu ürün daha kısa özensiz iade,Faulty,Yes
218,e203,Yırtıklı geldi sökülmüş ama iade etmiyorum uğraşamam biraz özen lütfen,Faulty,Yes
219,e204,etek güzel ama bu fiyata değmez,Disappointing,No
220,e205,Siyah istedim beyaz ürün gönderdiniz,Discolored,Yes
221,e206,Yani aslında güzel. Ama kadıköyden aldığım 200tl lik eteğin aynısı. Bu fiyattan tabii ki tok bir kumaş güzel bir bel performansı bekliyordum. Herhangi bi yerde üçte biri fiyatına bulabileceğiniz bir ürün. İade ediyorum,Disappointing,No
222,e207,Ürün yanlış geldi,Incorrect,Yes
223,e208,Ürünüm yanlış geldi etek yerine bluz gönderilmiş imdat imdat biri bana ne yapacağımı iletsin muhattap bulamıyorum imdat imdat imdat fatura etek kesilmiş imdat yardım edin,Incorrect,Yes
224,e209,Aynı eteğin farklı iki renginin aynı bedenini aldım. siyahon açıklamada yazan ölçülerde alakası yok. Satıcıdan değişim rica ettim cevap bile gelmedi. Model olarak da kat kat olduğu için kabarık ve şişman gösteriyor,Ill-fitting,Yes
225,e210,s istemistim l gondermissiniz iade talebi olusturdum,Ill-fitting,Yes
